DataId,Value,Precision,IndicatorOrder,SurveyYear,DenominatorWeighted,IsPreferred,ByVariableId
463685,88.4,1,83566010,2016,1406,1,14002
157339,7.7,1,83566020,2016,2105,0,14000
157315,8.5,1,83566020,2016,3548,0,14001
463682,7.7,1,83566020,2016,1406,1,14002
157340,3.6,1,83566030,2016,2105,0,14000
157316,3.7,1,83566030,2016,3548,0,14001
463683,3.4,1,83566030,2016,1406,1,14002
157341,0.3,1,83566040,2016,2105,0,14000
157317,0.4,1,83566040,2016,3548,0,14001
463684,0.5,1,83566040,2016,1406,1,14002
157347,100,1,83566060,2016,2105,0,14000
157337,100,1,83566060,2016,3548,0,14001
463686,100,1,83566060,2016,1406,1,14002
157345,96,1,83566070,2016,2105,0,14000
157336,95.9,1,83566070,2016,3548,0,14001
463689,96.1,1,83566070,2016,1406,1,14002
663099,29.1,1,83606010,2016,2105,0,14000
373334,28.7,1,83606010,2016,3548,0,14001
473060,29.5,1,83606010,2016,1406,1,14002
663098,67.6,1,83606020,2016,2105,0,14000
373337,68,1,83606020,2016,3548,0,14001
473024,67.6,1,83606020,2016,1406,1,14002
663100,0.2,1,83606060,2016,2105,0,14000
373335,0.1,1,83606060,2016,3548,0,14001
473061,0.2,1,83606060,2016,1406,1,14002
663097,1.6,1,83606070,2016,2105,0,14000
373332,1.9,1,83606070,2016,3548,0,14001
473025,1.8,1,83606070,2016,1406,1,14002
663103,1.5,1,83606080,2016,2105,0,14000
373336,1.2,1,83606080,2016,3548,0,14001
473062,0.9,1,83606080,2016,1406,1,14002
663102,100,1,83606100,2016,2105,0,14000
373328,100,1,83606100,2016,3548,0,14001
473019,100,1,83606100,2016,1406,1,14002
663104,96.7,1,83606110,2016,2105,0,14000
373329,96.7,1,83606110,2016,3548,0,14001
473020,97.1,1,83606110,2016,1406,1,14002
663105,24.9,1,83606120,2016,2105,0,14000
373330,24.2,1,83606120,2016,3548,0,14001
473021,25.3,1,83606120,2016,1406,1,14002
550039,3.4,1,93966010,2016,2026,0,14000
520801,3.1,1,93966010,2016,3413,1,14001
628408,96.9,1,93966040,2016,59,0,14000
701545,87.6,1,93966040,2016,94,1,14001
628407,46.7,1,93966050,2016,59,0,14000
701543,42,1,93966050,2016,94,1,14001
149154,66.8,1,94036010,2016,410,0,14000
653434,68.4,1,94036010,2016,647,1,14001
149153,0.2,1,94036020,2016,410,0,14000
653431,0.5,1,94036020,2016,647,1,14001
149156,29.2,1,94036030,2016,410,0,14000
653433,30.3,1,94036030,2016,647,1,14001
707848,59.2,1,94096010,2016,256,0,14000
545833,63,1,94096010,2016,350,1,14001
707849,46.5,1,94096020,2016,256,0,14000
545832,51.4,1,94096020,2016,350,1,14001
707850,67.2,1,94096030,2016,256,0,14000
545838,72.5,1,94096030,2016,350,1,14001
707851,75.4,1,94096040,2016,256,0,14000
545839,80.5,1,94096040,2016,350,1,14001
